,time,open,high,low,close,tick_volume,spread,real_volume
0,2023-10-30 01:00:00,32473.9,32483.9,32368.4,32465.4,91,9,0
1,2023-10-30 01:01:00,32466.9,32477.4,32443.7,32444.2,146,0,0
2,2023-10-30 01:02:00,32444.2,32459.7,32431.2,32441.7,135,0,0
3,2023-10-30 01:03:00,32441.2,32461.7,32433.7,32454.2,85,0,0
4,2023-10-30 01:04:00,32454.7,32457.2,32437.2,32443.2,64,14,0
5,2023-10-30 01:05:00,32442.7,32460.7,32442.7,32456.7,41,14,0
6,2023-10-30 01:06:00,32457.2,32457.2,32444.2,32447.7,64,24,0
7,2023-10-30 01:07:00,32448.2,32448.2,32435.7,32445.2,58,4,0
8,2023-10-30 01:08:00,32445.7,32461.2,32445.2,32458.2,47,19,0
9,2023-10-30 01:09:00,32457.7,32459.7,32453.7,32455.2,59,24,0
10,2023-10-30 01:10:00,32455.2,32459.2,32451.7,32457.2,52,24,0
11,2023-10-30 01:11:00,32456.7,32459.7,32453.7,32455.7,41,19,0
12,2023-10-30 01:12:00,32455.7,32458.7,32455.7,32457.7,35,24,0
13,2023-10-30 01:13:00,32457.7,32458.2,32455.7,32456.7,25,34,0
14,2023-10-30 01:14:00,32456.7,32461.2,32454.7,32460.2,25,29,0
15,2023-10-30 01:15:00,32460.2,32463.7,32458.2,32461.7,26,24,0
16,2023-10-30 01:16:00,32461.2,32461.7,32452.7,32460.7,40,0,0
17,2023-10-30 01:17:00,32461.2,32466.7,32460.7,32464.2,39,24,0
18,2023-10-30 01:18:00,32463.7,32469.7,32463.7,32467.7,28,29,0
19,2023-10-30 01:19:00,32468.2,32468.2,32454.7,32463.7,45,19,0
20,2023-10-30 01:20:00,32463.7,32464.7,32459.7,32462.7,26,24,0
21,2023-10-30 01:21:00,32462.7,32464.7,32459.7,32464.7,14,29,0
22,2023-10-30 01:22:00,32464.7,32468.2,32464.7,32466.7,16,34,0
23,2023-10-30 01:23:00,32467.2,32472.7,32466.7,32472.2,23,4,0
24,2023-10-30 01:24:00,32471.7,32479.2,32470.7,32477.7,49,24,0
25,2023-10-30 01:25:00,32478.2,32481.2,32475.7,32479.2,69,14,0
26,2023-10-30 01:26:00,32479.7,32483.7,32479.7,32480.7,27,34,0
27,2023-10-30 01:27:00,32480.7,32481.7,32477.7,32478.7,24,34,0
28,2023-10-30 01:28:00,32478.2,32481.7,32477.7,32481.7,16,29,0
29,2023-10-30 01:29:00,32481.7,32484.2,32480.2,32483.7,14,34,0
30,2023-10-30 01:30:00,32483.7,32484.7,32475.6,32475.6,22,24,0
31,2023-10-30 01:31:00,32475.6,32476.6,32470.1,32471.6,23,34,0
32,2023-10-30 01:32:00,32471.6,32475.6,32468.6,32469.6,38,24,0
33,2023-10-30 01:33:00,32469.6,32473.6,32467.1,32469.6,20,24,0
34,2023-10-30 01:34:00,32470.1,32471.6,32466.6,32470.6,21,29,0
35,2023-10-30 01:35:00,32472.1,32478.6,32472.1,32476.6,20,19,0
36,2023-10-30 01:36:00,32476.1,32479.6,32475.6,32479.6,18,34,0
37,2023-10-30 01:37:00,32480.1,32489.1,32479.6,32486.1,26,24,0
38,2023-10-30 01:38:00,32486.6,32489.6,32484.6,32489.6,20,9,0
39,2023-10-30 01:39:00,32489.6,32493.6,32485.1,32485.1,34,24,0
40,2023-10-30 01:40:00,32485.6,32485.6,32481.6,32482.6,14,29,0
41,2023-10-30 01:41:00,32482.6,32482.6,32471.6,32477.6,39,14,0
42,2023-10-30 01:42:00,32477.1,32477.6,32473.6,32475.6,12,34,0
43,2023-10-30 01:43:00,32475.6,32476.6,32471.6,32471.6,11,34,0
44,2023-10-30 01:44:00,32471.6,32472.6,32471.1,32472.6,12,39,0
45,2023-10-30 01:45:00,32472.1,32475.6,32471.6,32475.1,19,39,0
46,2023-10-30 01:46:00,32474.6,32475.8,32472.6,32472.6,13,21,0
47,2023-10-30 01:47:00,32472.6,32474.7,32472.6,32474.7,9,38,0
48,2023-10-30 01:48:00,32474.7,32475.6,32470.6,32475.6,20,32,0
49,2023-10-30 01:49:00,32475.6,32487.1,32475.6,32486.6,31,29,0
50,2023-10-30 01:50:00,32487.1,32490.1,32487.1,32488.6,17,39,0
